,snapshot_year,renewable_lower,demand_scenario,reduction,nuclear_option,ll_wildcard,h2_demand,onwind,energy_selfconsumption,uuid,discount_rate
2050_eRisk+2035/european_110.0red_centralized_medium_nuclear_llv1.9_h2+2.40_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,european,110,centralized_medium,v1.9,h2+2.40,onwind+p0.3,,2050eRisk+2035european110.0centralized_mediumv1.9h2+2.40onwind+p0.3,0.0225
2050_eRisk+2035/european_110.0red_disabled_nuclear_llv1.9_h2+2.40_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,european,110,disabled,v1.9,h2+2.40,onwind+p0.3,,2050eRisk+2035european110.0disabledv1.9h2+2.40onwind+p0.3,0.0225
2050_eRisk+2035/european_110.0red_SMR_nuclear_llv1.9_h2+2.40_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,european,110,SMR,v1.9,h2+2.40,onwind+p0.3,,2050eRisk+2035european110.0SMRv1.9h2+2.40onwind+p0.3,0.0225
2050_eRisk+2035/national_103.0red_centralized_medium_nuclear_llv1.75_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.7c,2050,eRisk+2035,national,103,centralized_medium,v1.75,h2+1.33,onwind+p0.3,EQ0.7c,2050eRisk+2035national103.0centralized_mediumv1.75h2+1.33onwind+p0.3EQ0.7c,0.0225
2050_eRisk+2035/national_103.0red_disabled_nuclear_llv1.75_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.7c,2050,eRisk+2035,national,103,disabled,v1.75,h2+1.33,onwind+p0.3,EQ0.7c,2050eRisk+2035national103.0disabledv1.75h2+1.33onwind+p0.3EQ0.7c,0.0225
2050_eRisk+2035/national_103.0red_SMR_nuclear_llv1.75_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.7c,2050,eRisk+2035,national,103,SMR,v1.75,h2+1.33,onwind+p0.3,EQ0.7c,2050eRisk+2035national103.0SMRv1.75h2+1.33onwind+p0.3EQ0.7c,0.0225
2050_eRisk+2035/regional_103.0red_centralized_medium_nuclear_llv1.6_h2+1.0_Co2L-1H-CCL-onwind+p0.4-EQ0.5,2050,eRisk+2035,regional,103,centralized_medium,v1.6,h2+1.0,onwind+p0.4,EQ0.5,2050eRisk+2035regional103.0centralized_mediumv1.6h2+1.0onwind+p0.4EQ0.5,0.0225
2050_eRisk+2035/regional_103.0red_disabled_nuclear_llv1.6_h2+1.0_Co2L-1H-CCL-onwind+p0.4-EQ0.5,2050,eRisk+2035,regional,103,disabled,v1.6,h2+1.0,onwind+p0.4,EQ0.5,2050eRisk+2035regional103.0disabledv1.6h2+1.0onwind+p0.4EQ0.5,0.0225
2050_eRisk+2035/regional_103.0red_SMR_nuclear_llv1.6_h2+1.0_Co2L-1H-CCL-onwind+p0.4-EQ0.5,2050,eRisk+2035,regional,103,SMR,v1.6,h2+1.0,onwind+p0.4,EQ0.5,2050eRisk+2035regional103.0SMRv1.6h2+1.0onwind+p0.4EQ0.5,0.0225
2050_eRisk+2030/european_103.0red_centralized_medium_nuclear_dr0.0225_llv1.9_h2+1.33_Co2L-1H-CCL-onwind+p0.25,2050,eRisk+2030,european,103,centralized_medium,v1.9,h2+1.33,onwind+p0.25,,2050eRisk+2030european103.0centralized_mediumv1.9h2+1.330.0225onwind+p0.25,0.0225
